Timestamp,AccX,AccY,AccZ,GyroX,GyroY,GyroZ,Roll,Pitch,Yaw
2025-06-27 16:23:19,0.021,-0.096,1.003,-0.183,0.244,-0.122,-5.394,-0.846,52.965
2025-06-27 16:23:20,0.021,-0.095,1.003,0.000,-0.122,0.183,-5.405,-0.851,27.241
2025-06-27 16:23:20,0.006,-0.078,0.977,2.075,-0.916,0.793,-5.773,-0.901,39.672
2025-06-27 16:23:21,0.039,-0.164,1.011,-8.789,3.479,0.305,-11.783,-1.269,45.654
2025-06-27 16:23:21,-0.005,-0.207,0.991,3.479,0.000,-4.700,-11.283,-1.115,47.565
2025-06-27 16:23:22,0.033,-0.100,0.964,-8.789,-16.846,-2.930,-5.499,-1.110,51.669
2025-06-27 16:23:22,-0.022,-0.247,1.029,-15.320,0.244,-1.404,-14.755,-0.599,46.890
2025-06-27 16:23:23,-0.006,-0.438,0.964,-6.714,0.916,-11.780,-24.571,-1.373,27.592
2025-06-27 16:23:23,0.045,-0.479,0.895,-6.042,1.892,-0.977,-28.141,-3.038,39.787
2025-06-27 16:23:24,0.056,-0.535,0.904,-3.418,-0.122,-1.038,-31.586,-3.576,46.000
2025-06-27 16:23:25,0.076,-0.402,0.955,69.092,28.870,-4.456,-22.582,-3.499,49.208
2025-06-27 16:23:25,-0.002,0.054,0.998,43.518,12.512,1.099,4.532,2.307,51.262
2025-06-27 16:23:26,0.006,0.185,0.881,-36.926,-8.240,-2.625,10.552,1.412,41.600
2025-06-27 16:23:26,0.033,0.039,1.006,-11.963,-27.161,-1.038,1.555,-0.269,33.354
2025-06-27 16:23:27,0.508,-0.067,0.842,-9.705,-33.936,8.972,-3.724,-33.113,41.902
2025-06-27 16:23:27,0.633,-0.093,0.785,3.113,9.888,2.502,-7.476,-38.062,44.621
2025-06-27 16:23:28,0.617,-0.110,0.797,1.404,-0.427,0.610,-7.993,-37.562,44.681
2025-06-27 16:23:28,0.425,-0.077,0.933,0.610,37.598,-10.620,-4.680,-21.407,42.665
2025-06-27 16:23:29,0.073,-0.119,0.977,-10.437,18.372,2.380,-6.460,-3.395,23.956
2025-06-27 16:23:29,-0.208,-0.195,0.974,-7.141,20.813,0.854,-11.442,11.404,25.269
2025-06-27 16:23:30,-0.346,-0.234,0.934,3.357,20.081,-5.432,-13.623,22.011,36.760
2025-06-27 16:23:30,-0.408,-0.218,0.926,-0.854,-21.851,5.066,-14.057,22.462,43.352
2025-06-27 16:23:31,-0.046,-0.247,1.001,14.526,-23.071,9.705,-10.031,2.884,52.894
2025-06-27 16:23:31,0.170,-0.136,1.009,4.883,-18.921,-0.427,-7.427,-9.102,55.267
2025-06-27 16:23:32,0.286,-0.117,0.934,-1.709,2.930,-2.991,-7.586,-16.106,84.183
2025-06-27 16:23:32,0.312,-0.163,0.992,-3.235,-6.042,-6.470,-9.229,-17.996,72.647
2025-06-27 16:23:33,0.301,-0.151,0.936,3.906,-3.845,0.916,-9.031,-17.792,63.182
2025-06-27 16:23:33,0.340,-0.155,0.938,-2.258,-3.723,2.136,-9.684,-20.001,58.705
2025-06-27 16:23:34,0.388,-0.122,0.886,14.038,16.846,-3.784,-7.608,-24.285,54.564
2025-06-27 16:23:34,0.078,-0.083,1.058,15.320,63.965,5.981,-5.279,-2.972,52.037
2025-06-27 16:23:35,-0.262,-0.156,0.976,0.427,30.579,-2.686,-7.894,14.793,17.584
2025-06-27 16:23:35,-0.300,-0.162,0.961,-7.996,-16.235,-0.916,-10.432,17.238,33.360
2025-06-27 16:23:36,0.343,-0.101,0.924,41.077,-85.388,-5.554,-6.031,-18.781,45.780
2025-06-27 16:23:36,0.541,-0.074,0.817,4.944,7.568,7.690,-5.883,-33.371,47.302
2025-06-27 16:23:37,0.276,-0.118,1.090,16.602,13.306,42.114,-7.009,-13.359,55.135
2025-06-27 16:23:37,0.176,-0.181,0.991,-4.211,13.489,42.053,-5.361,-4.301,80.195
2025-06-27 16:23:38,0.014,-0.133,0.976,-3.967,13.977,42.236,-5.603,-1.703,118.400
2025-06-27 16:23:38,0.042,-0.143,1.033,-12.207,14.465,1.343,-10.311,-0.654,95.548
2025-06-27 16:23:39,-0.011,-0.136,0.970,15.564,-22.461,8.850,-7.438,-1.285,76.174
2025-06-27 16:23:39,0.027,-0.215,1.024,0.549,15.625,13.733,-14.557,-2.587,71.406
2025-06-27 16:23:40,0.058,-0.196,1.039,10.010,-45.532,20.996,-11.376,-2.148,68.450
2025-06-27 16:23:40,0.057,-0.220,1.005,-10.559,-5.859,6.470,-12.524,0.093,60.980
2025-06-27 16:23:41,-0.035,-0.202,0.983,0.916,1.160,0.244,-11.255,1.857,87.122
2025-06-27 16:23:41,-0.039,-0.211,0.989,0.061,3.296,0.000,-12.041,2.098,69.944
2025-06-27 16:23:42,-0.031,-0.198,0.995,0.122,2.136,-0.305,-11.464,2.120,60.661
2025-06-27 16:23:42,-0.034,-0.194,0.987,-1.709,0.061,0.244,-11.409,2.016,55.684
2025-06-27 16:23:43,-0.031,-0.192,0.993,-0.549,-1.465,0.244,-10.997,1.961,52.971
2025-06-27 16:23:43,-0.037,-0.197,0.999,-1.282,1.404,-0.366,-11.217,1.994,51.592
2025-06-27 16:23:44,-0.032,-0.194,0.993,-0.183,-0.183,-0.244,-11.239,1.967,78.849
2025-06-27 16:23:44,-0.034,-0.193,0.984,0.549,-0.244,-0.244,-11.354,1.945,65.643
2025-06-27 16:23:45,-0.037,-0.199,0.995,1.160,0.488,0.122,-11.404,1.967,58.464
2025-06-27 16:23:45,-0.040,-0.196,0.991,-0.488,0.000,-0.305,-11.321,2.043,54.608
2025-06-27 16:23:46,-0.029,-0.203,0.987,0.122,2.075,-0.183,-11.371,2.005,52.460
2025-06-27 16:23:47,-0.030,-0.197,0.991,2.014,3.052,-0.671,-11.234,1.923,51.163
2025-06-27 16:23:47,-0.049,-0.186,0.997,0.977,8.118,-0.793,-11.047,2.159,76.328
2025-06-27 16:23:48,0.001,-0.194,0.986,-0.122,-17.212,-2.808,-10.904,0.862,64.627
2025-06-27 16:23:48,-0.055,-0.198,1.005,-4.028,-7.446,1.343,-10.574,1.890,57.047
2025-06-27 16:23:49,0.021,-0.094,1.000,12.146,-1.465,-5.432,-5.625,-1.198,53.300
2025-06-27 16:23:49,0.091,0.006,1.031,20.386,-17.151,4.883,1.675,-3.505,51.559
2025-06-27 16:23:50,0.200,0.210,0.918,13.123,-9.338,2.686,13.057,-11.794,59.277
2025-06-27 16:23:50,0.264,0.149,0.909,-18.799,9.216,-1.587,13.167,-13.398,76.152
2025-06-27 16:23:51,-0.109,-0.074,1.067,-37.659,-10.132,1.770,-4.021,3.768,63.721
2025-06-27 16:23:51,-0.133,-0.063,1.038,37.292,7.874,3.296,-3.043,5.905,58.348
2025-06-27 16:23:52,-0.085,0.247,0.927,10.559,-1.831,1.831,14.788,5.779,56.887
2025-06-27 16:23:52,-0.097,0.284,0.943,3.357,-0.732,0.000,16.990,5.350,56.986
2025-06-27 16:23:53,-0.086,0.314,0.916,0.854,0.000,0.244,18.776,5.142,42.627
2025-06-27 16:23:53,-0.078,0.309,0.925,-1.099,-0.061,0.488,18.512,4.807,35.442
2025-06-27 16:23:54,-0.082,0.301,0.916,0.244,0.549,-0.122,18.007,5.015,45.764
2025-06-27 16:23:54,-0.071,0.253,0.939,-9.216,3.540,-2.258,15.189,5.350,51.202
2025-06-27 16:23:55,-0.113,0.139,0.959,-17.639,-2.808,0.183,8.119,6.284,53.097
2025-06-27 16:23:55,-0.103,0.019,0.982,-9.460,1.587,-0.854,0.851,5.999,53.069
2025-06-27 16:23:56,-0.099,0.071,0.971,18.799,-0.122,0.793,4.719,6.465,75.608
2025-06-27 16:23:56,-0.097,0.284,0.895,11.414,0.183,-0.061,16.551,5.905,74.800
2025-06-27 16:23:57,-0.103,0.146,0.964,-20.813,6.287,0.977,8.778,5.933,66.649
2025-06-27 16:23:57,-0.117,-0.090,1.048,9.827,-0.122,-0.122,-4.114,6.575,60.353
2025-06-27 16:23:58,-0.121,0.256,0.918,35.156,0.854,-2.686,15.320,7.075,56.503
2025-06-27 16:23:58,-0.110,0.198,0.920,-48.218,-5.066,2.441,12.458,6.625,57.310
2025-06-27 16:23:59,-0.091,-0.083,1.038,25.452,1.648,0.000,-3.790,5.427,86.270
2025-06-27 16:23:59,-0.147,0.264,0.929,35.095,1.465,0.488,15.436,8.251,74.103
2025-06-27 16:24:00,-0.121,0.298,0.918,-14.221,-1.160,1.587,18.040,7.136,67.275
2025-06-27 16:24:00,-0.087,0.055,1.034,-30.151,-2.075,-0.427,3.565,5.164,62.128
2025-06-27 16:24:01,-0.053,0.017,0.955,7.507,-46.326,11.108,1.093,1.752,57.783
2025-06-27 16:24:01,0.485,0.026,0.874,5.005,8.789,-8.240,1.489,-27.235,55.305
2025-06-27 16:24:02,0.450,0.026,0.887,-3.113,12.573,-2.441,1.835,-27.279,84.617
2025-06-27 16:24:02,0.180,0.036,0.968,3.540,31.311,-7.751,2.499,-11.387,64.671
2025-06-27 16:24:03,-0.019,0.046,0.995,0.977,11.169,-2.502,2.867,0.654,57.145
2025-06-27 16:24:03,-0.145,0.065,0.979,4.639,15.198,-4.211,3.922,8.410,53.844
2025-06-27 16:24:04,-0.295,0.064,0.947,2.319,13.489,-5.127,3.774,17.512,52.064
2025-06-27 16:24:04,-0.263,0.083,0.950,-19.531,-79.834,29.663,3.521,17.776,53.591
2025-06-27 16:24:05,-0.012,-0.085,1.000,-14.343,-1.343,0.000,-5.114,0.593,88.835
2025-06-27 16:24:05,0.046,-0.155,1.002,3.784,-0.671,-0.977,-8.707,-1.609,72.114
2025-06-27 16:24:06,0.013,-0.133,1.000,1.038,10.254,-1.892,-7.460,-0.687,61.787
2025-06-27 16:24:06,0.042,-0.160,1.021,-5.188,-12.085,0.977,-8.641,-1.604,56.272
2025-06-27 16:24:07,0.021,-0.154,0.995,-0.549,2.563,0.793,-8.646,-1.170,53.344
2025-06-27 16:24:07,-0.005,-0.150,1.001,1.709,0.977,-0.671,-8.553,0.005,51.751
2025-06-27 16:24:08,-0.132,-0.006,0.906,46.692,7.019,-15.503,-1.994,4.609,78.843
2025-06-27 16:24:08,0.229,-0.299,1.002,-31.006,-99.670,-7.385,-17.084,-9.838,68.533
2025-06-27 16:24:09,0.433,-0.167,0.875,3.845,-66.345,27.222,-14.013,-27.350,68.280
2025-06-27 16:24:10,0.888,-0.271,0.465,-8.789,-39.429,-21.790,-29.410,-60.496,67.324
2025-06-27 16:24:10,0.884,-0.191,-0.378,6.104,-80.688,15.442,-153.078,-65.588,164.597
2025-06-27 16:24:11,0.221,-0.240,-0.951,-35.217,-78.857,-13.123,-169.739,-21.220,159.461
2025-06-27 16:24:11,0.174,-0.128,-0.887,-27.954,9.583,33.875,-177.616,-0.807,-179.632
2025-06-27 16:24:12,-0.073,-0.099,-1.030,-2.014,3.906,-6.165,-175.908,2.071,159.225
2025-06-27 16:24:12,-0.048,-0.071,-1.008,-1.038,-1.404,3.540,-175.276,1.082,145.031
2025-06-27 16:24:13,-0.015,-0.079,-1.021,1.404,-1.953,1.221,-174.781,1.214,135.654
2025-06-27 16:24:13,-0.000,-0.096,-1.013,-0.366,0.549,1.038,-174.304,1.143,131.622
2025-06-27 16:24:14,0.010,-0.105,-0.960,1.648,17.273,0.427,-174.474,-1.132,129.386
2025-06-27 16:24:14,0.236,-0.039,-0.961,2.686,18.066,5.554,-177.001,-13.656,150.716
2025-06-27 16:24:15,0.281,-0.054,-0.976,3.052,-18.860,-0.488,-176.792,-15.925,138.741
2025-06-27 16:24:15,-0.009,-0.066,-0.982,1.831,-12.512,-6.531,-176.940,-0.978,132.594
2025-06-27 16:24:16,0.512,-0.122,-0.942,-8.240,66.895,29.785,-173.073,-22.440,123.629
2025-06-27 16:24:16,0.918,-0.192,-0.131,-14.343,97.595,-11.047,-139.081,-74.713,92.593
2025-06-27 16:24:17,0.474,-0.055,0.801,14.832,152.466,-37.720,-4.109,-34.838,-36.936
2025-06-27 16:24:17,0.109,-0.103,0.917,2.869,4.333,23.926,-6.652,-4.241,-27.834
2025-06-27 16:24:18,-0.029,-0.047,1.023,19.531,-15.747,-4.517,-1.912,0.791,8.597
2025-06-27 16:24:18,0.003,0.002,0.983,-14.221,19.165,-5.310,0.033,-0.879,27.180
2025-06-27 16:24:19,-0.083,-0.062,0.998,0.977,2.014,0.671,-2.346,2.406,38.331
2025-06-27 16:24:19,-0.037,-0.042,1.001,-3.052,0.610,-0.183,-2.368,2.131,44.500
2025-06-27 16:24:20,-0.045,-0.037,1.011,0.793,0.000,0.549,-2.362,2.285,30.723
2025-06-27 16:24:20,-0.046,-0.044,1.008,-0.244,0.916,-0.732,-2.538,2.346,26.488
2025-06-27 16:24:21,-0.055,-0.049,0.995,1.221,2.014,0.610,-2.950,2.955,37.304
2025-06-27 16:24:21,-0.063,0.076,1.093,-4.944,5.432,-27.954,2.032,4.175,42.138
2025-06-27 16:24:22,-0.219,-0.091,0.928,46.692,-17.334,-54.810,-3.538,3.571,15.562
2025-06-27 16:24:22,-0.225,-0.009,0.908,26.123,-50.415,-26.245,-0.385,7.641,23.192
2025-06-27 16:24:23,0.027,0.068,0.883,-4.578,7.385,-39.734,5.021,-1.593,2.906
2025-06-27 16:24:23,0.138,0.099,0.997,-9.827,4.028,-19.470,3.521,-2.763,7.767
2025-06-27 16:24:24,-0.260,-0.111,1.074,-26.733,-20.569,-2.747,-5.477,6.872,21.105
2025-06-27 16:24:24,-0.302,-0.123,1.145,18.433,-9.827,7.202,-3.098,7.795,38.903
2025-06-27 16:24:25,-0.055,0.198,0.946,0.427,-4.517,-6.470,2.873,4.647,49.785
2025-06-27 16:24:25,-0.031,-0.007,1.016,0.122,-9.583,4.761,0.950,1.802,52.987
2025-06-27 16:24:26,-0.014,-0.097,0.990,-12.207,-6.042,-19.470,-1.027,1.450,20.693
2025-06-27 16:24:26,-0.021,0.158,1.089,14.465,1.892,16.846,-2.126,1.659,28.801
2025-06-27 16:24:27,-0.049,-0.039,0.988,11.719,9.094,33.936,8.503,2.554,56.673
2025-06-27 16:24:27,0.191,0.017,1.061,0.916,-74.402,-31.677,-1.994,-10.778,53.289
2025-06-27 16:24:28,-0.061,-0.137,1.095,36.621,262.024,-10.132,-5.905,2.236,46.110
2025-06-27 16:24:28,-0.437,-0.218,1.149,38.879,-131.775,-27.649,-9.717,15.386,38.002
2025-06-27 16:24:29,0.469,0.034,0.650,-3.052,-80.688,51.331,3.801,-48.752,5.279
